geomaterial_id,mineral_IMA
1559,Fuloppite
1560,Florencite-(Ce)
1561,Florencite-(La)
1562,Florencite-(Nd)
1563,Florensovite
1564,Fluckite
1565,Fluellite
1566,Fluoborite
1567,Fluocerite-(Ce)
1568,Fluocerite-(La)
1569,Fluocerite
1572,Fluorapatite
1573,Fluorapophyllite-(K)
1574,Fluorbritholite-(Ce)
1575,Fluorellestadite
1576,Fluorite
1578,Foggite
1579,Foitite
1580,Fontanite
1581,Foordite
1582,Formanite-(Y)
1583,Fornacite
1584,Forsterite
1585,Foshagite
1586,Foshallasite
1587,Fourmarierite
1588,Fraipontite
1589,Francevillite
1590,Franciscanite
1591,Francisite
1592,Franckeite
1593,Francoanellite
1594,Francoisite-(Nd)
1595,Franconite
1596,Frankdicksonite
1597,Franklinfurnaceite
1598,Franklinite
1599,Franklinphilite
1600,Fransoletite
1601,Franzinite
1602,Freboldite
1603,Fredrikssonite
1604,Freedite
1605,Freibergite Subgroup
1606,Freieslebenite
1607,Fresnoite
1608,Freudenbergite
1609,Friedelite
1610,Friedrichite
1611,Fritzscheite
1612,Frohbergite
1613,Frolovite
1614,Frondelite
1615,Froodite
1617,Fuchsite
1618,Fuenzalidaite
1619,Fukalite
